n,p,k,trial,m,spanner_size,size_bound,size_ok,connectivity_ok,stretch_ok,max_stretch,stretch_limit,time_s,passed
20,0.15,2,0,21,21,178.89,True,True,True,1.0,3,0.0001,True
20,0.15,2,1,35,35,178.89,True,True,True,1.0,3,0.0001,True
20,0.15,2,2,29,28,178.89,True,True,True,1.4618,3,0.0001,True
20,0.15,3,0,21,21,162.87,True,True,True,1.0,5,0.0001,True
20,0.15,3,1,35,34,162.87,True,True,True,1.6861,5,0.0001,True
20,0.15,3,2,29,28,162.87,True,True,True,1.4618,5,0.0001,True
20,0.15,4,0,21,21,169.18,True,True,True,1.0,7,0.0001,True
20,0.15,4,1,35,32,169.18,True,True,True,1.6861,7,0.0001,True
20,0.15,4,2,29,27,169.18,True,True,True,1.4618,7,0.0002,True
20,0.3,2,0,58,56,178.89,True,True,True,1.025,3,0.0001,True
20,0.3,2,1,60,59,178.89,True,True,True,1.0,3,0.0001,True
20,0.3,2,2,58,57,178.89,True,True,True,1.0544,3,0.0001,True
20,0.3,3,0,58,52,162.87,True,True,True,1.8782,5,0.0002,True
20,0.3,3,1,60,58,162.87,True,True,True,1.0,5,0.0001,True
20,0.3,3,2,58,54,162.87,True,True,True,1.4772,5,0.0001,True
20,0.3,4,0,58,56,169.18,True,True,True,1.025,7,0.0001,True
20,0.3,4,1,60,52,169.18,True,True,True,1.5827,7,0.0002,True
20,0.3,4,2,58,43,169.18,True,True,True,1.8484,7,0.0001,True
20,0.5,2,0,93,71,178.89,True,True,True,1.5019,3,0.0002,True
20,0.5,2,1,88,69,178.89,True,True,True,1.4414,3,0.0001,True
20,0.5,2,2,90,80,178.89,True,True,True,1.2435,3,0.0002,True
20,0.5,3,0,93,68,162.87,True,True,True,1.4361,5,0.0002,True
20,0.5,3,1,88,61,162.87,True,True,True,1.4414,5,0.0002,True
20,0.5,3,2,90,59,162.87,True,True,True,1.3276,5,0.0002,True
20,0.5,4,0,93,70,169.18,True,True,True,1.4184,7,0.0002,True
20,0.5,4,1,88,64,169.18,True,True,True,1.4414,7,0.0002,True
20,0.5,4,2,90,70,169.18,True,True,True,1.0,7,0.0002,True
40,0.15,2,0,111,109,505.96,True,True,True,1.0,3,0.0002,True
40,0.15,2,1,128,124,505.96,True,True,True,1.0025,3,0.0003,True
40,0.15,2,2,102,100,505.96,True,True,True,1.0119,3,0.0002,True
40,0.15,3,0,111,104,410.39,True,True,True,1.7461,5,0.0002,True
40,0.15,3,1,128,115,410.39,True,True,True,1.3345,5,0.0003,True
40,0.15,3,2,102,100,410.39,True,True,True,1.0972,5,0.0002,True
40,0.15,4,0,111,104,402.38,True,True,True,1.5337,7,0.0003,True
40,0.15,4,1,128,113,402.38,True,True,True,1.3561,7,0.0003,True
40,0.15,4,2,102,90,402.38,True,True,True,1.9358,7,0.0002,True
40,0.3,2,0,229,205,505.96,True,True,True,1.5569,3,0.0004,True
40,0.3,2,1,238,212,505.96,True,True,True,1.2901,3,0.0004,True
40,0.3,2,2,213,195,505.96,True,True,True,1.3129,3,0.0004,True
40,0.3,3,0,229,151,410.39,True,True,True,1.8629,5,0.0004,True
40,0.3,3,1,238,166,410.39,True,True,True,1.756,5,0.0004,True
40,0.3,3,2,213,188,410.39,True,True,True,1.2819,5,0.0004,True
40,0.3,4,0,229,162,402.38,True,True,True,1.8082,7,0.0004,True
40,0.3,4,1,238,171,402.38,True,True,True,1.8125,7,0.0006,True
40,0.3,4,2,213,177,402.38,True,True,True,1.4435,7,0.0006,True
40,0.5,2,0,373,277,505.96,True,True,True,1.8277,3,0.0012,True
40,0.5,2,1,394,274,505.96,True,True,True,1.7678,3,0.0005,True
40,0.5,2,2,375,244,505.96,True,True,True,1.6143,3,0.0005,True
40,0.5,3,0,373,207,410.39,True,True,True,2.2956,5,0.0005,True
40,0.5,3,1,394,223,410.39,True,True,True,1.8935,5,0.0005,True
40,0.5,3,2,375,196,410.39,True,True,True,1.7092,5,0.0007,True
40,0.5,4,0,373,195,402.38,True,True,True,2.1475,7,0.0006,True
40,0.5,4,1,394,213,402.38,True,True,True,1.8935,7,0.0007,True
40,0.5,4,2,375,196,402.38,True,True,True,1.6143,7,0.0005,True
60,0.15,2,0,263,260,929.52,True,True,True,1.715,3,0.0004,True
60,0.15,2,1,271,263,929.52,True,True,True,1.8029,3,0.0004,True
60,0.15,2,2,245,240,929.52,True,True,True,1.2697,3,0.0005,True
60,0.15,3,0,263,244,704.68,True,True,True,1.715,5,0.0004,True
60,0.15,3,1,271,253,704.68,True,True,True,1.3735,5,0.0004,True
60,0.15,3,2,245,232,704.68,True,True,True,1.2133,5,0.0004,True
60,0.15,4,0,263,231,667.96,True,True,True,1.7664,7,0.0006,True
60,0.15,4,1,271,241,667.96,True,True,True,1.3735,7,0.0005,True
60,0.15,4,2,245,224,667.96,True,True,True,1.2697,7,0.0004,True
60,0.3,2,0,535,457,929.52,True,True,True,1.4702,3,0.0008,True
60,0.3,2,1,532,448,929.52,True,True,True,1.4518,3,0.0009,True
60,0.3,2,2,511,424,929.52,True,True,True,1.5224,3,0.0008,True
60,0.3,3,0,535,326,704.68,True,True,True,2.0179,5,0.0008,True
60,0.3,3,1,532,422,704.68,True,True,True,1.6312,5,0.0009,True
60,0.3,3,2,511,332,704.68,True,True,True,2.6534,5,0.0008,True
60,0.3,4,0,535,341,667.96,True,True,True,1.7387,7,0.001,True
60,0.3,4,1,532,373,667.96,True,True,True,1.8955,7,0.0009,True
60,0.3,4,2,511,297,667.96,True,True,True,1.9441,7,0.0009,True
60,0.5,2,0,881,556,929.52,True,True,True,1.4975,3,0.0015,True
60,0.5,2,1,876,546,929.52,True,True,True,1.9119,3,0.0012,True
60,0.5,2,2,864,551,929.52,True,True,True,1.5559,3,0.0012,True
60,0.5,3,0,881,391,704.68,True,True,True,2.1232,5,0.0013,True
60,0.5,3,1,876,470,704.68,True,True,True,2.1281,5,0.0013,True
60,0.5,3,2,864,366,704.68,True,True,True,2.0587,5,0.0014,True
60,0.5,4,0,881,290,667.96,True,True,True,2.1053,7,0.0013,True
60,0.5,4,1,876,355,667.96,True,True,True,2.4624,7,0.0016,True
60,0.5,4,2,864,357,667.96,True,True,True,1.8032,7,0.0014,True
